OBJECTID,Type,Status,Facility Name,Comment,GlobalID,CountAttachments,AttachID,x,y
820,Accessible Pathway,Active,Utilities Kingston,,afaddea7-c2f9-41f6-93a5-650c9733aa6a,0,,-8516930.5024,5505787.2644
821,Automated Door Opener,Active,John Counter Boulevard,,d3fffe48-96b2-4989-806d-577eee8323b2,1,1343,-8516910.7577,5505783.6793
822,Automated Door Opener,Active,Utilities Kingston,,6ef2ca7e-08b4-4338-8f44-360f6c0bdd7d,1,1359,-8516936.2995,5505792.193
823,Automated Door Opener,Active,Utilities Kingston,,d43a9de1-7991-4841-9412-a4260368ea28,1,1360,-8516967.5929,5505792.4055
824,Automated Door Opener,Active,John Counter Boulevard,,3df6ec11-f9f4-4dd7-9267-3bf379a982ee,1,1344,-8516907.6121,5505730.1246
825,Entrance to Access Interior Elevator,Active,John Counter Boulevard,,741315cd-9656-495c-ad0b-226ce085eebd,1,1345,-8516911.3967,5505732.6218
826,Entrance to Access Interior Elevator,Active,John Counter Boulevard,,b50b7f25-667f-490e-9a2b-25aa8cef98c5,1,1346,-8516912.0346,5505783.5571
827,Entrance to Access Interior Elevator,Active,Utilities Kingston,,2f0bea5d-65c1-4bf2-8337-3501562c5d78,1,1361,-8516936.7183,5505793.5676
828,Entrance to Access Interior Elevator,Active,Utilities Kingston,,782b1e01-7c59-41d6-b3b5-8ae7a758539a,1,1362,-8516967.3267,5505793.9902
829,Accessible Bench,Active,Utilities Kingston,,e1da177b-32a1-472b-bf42-48b248cad9a3,2,1363,-8516930.9218,5505783.3073
830,Accessible Bench,Active,Utilities Kingston,,a4481a11-b4ec-4726-b9a8-768c65eb706c,1,1365,-8516929.0295,5505808.9145
831,Accessible Table,Active,John Counter Boulevard,,6ea0f61c-991c-42bf-a61d-f34c472229d0,2,1347,-8516918.1178,5505787.9866
832,Accessible Table,Active,Utilities Kingston,,e8b3fb76-0591-4700-a5e3-f35e89c65d30,1,1366,-8516923.8283,5505788.1775
833,Accessible Table,Active,Utilities Kingston,,db18f6dc-617b-4a0a-9fa1-49faf0a5ac37,1,1367,-8516935.1702,5505805.7405
834,Accessible Table,Active,Utilities Kingston,,679a872c-6283-440f-898e-4f379f005396,1,1368,-8516934.5992,5505812.1688
835,Ramp,Active,Utilities Kingston,,b2a6a631-4a85-449c-ba2b-fd5b9bcd4cb0,1,1369,-8516971.7628,5505777.2616
836,Ramp,Active,John Counter Boulevard,,3d2b0022-4097-4f73-ab51-b437a805b9a7,2,1349,-8516927.5617,5505727.7226
837,Ramp,Active,John Counter Boulevard,,b3ad62f6-dacc-4abb-9a3f-a954a4719f3d,1,1351,-8516862.8709,5505757.4499
839,Accessible Parking Space,Active,Utilities Kingston,,a584fc20-1c0b-405f-815c-f6f700171ef4,1,1370,-8516962.3258,5505761.6382
840,Accessible Parking Space,Active,Utilities Kingston,,b6d4d9a1-8b3d-40da-82a1-ea61c29424be,1,1371,-8516962.3049,5505755.1221
841,Accessible Parking Space,Active,Utilities Kingston,,b8e1354c-9251-4d94-a662-8e010ae05bf5,1,1372,-8516961.5737,5505747.4344
842,Accessible Parking Space,Active,John Counter Boulevard,,f8fd81b4-6409-48ad-8ed2-0cd628859838,1,1352,-8516920.7636,5505716.4936
843,Accessible Parking Space,Active,John Counter Boulevard,,70eb0272-84ba-4571-b762-704ad3e075d1,1,1353,-8516914.4703,5505716.7085
844,Sidewalk Curb Cut,Active,John Counter Boulevard,,e3b56bc3-4ca5-4279-9c55-72785917c46f,1,1354,-8516918.0016,5505721.4813
845,Sidewalk Curb Cut,Active,John Counter Boulevard,,30d7d398-77b2-4ab2-9f6e-6b4dfcc52c1a,1,1355,-8516956.9939,5505723.0328
846,Sidewalk Curb Cut,Active,Utilities Kingston,,11fc9bc4-92cd-4aa4-b226-d75d36941075,1,1373,-8516960.0998,5505763.654
847,Sidewalk Curb Cut,Active,John Counter Boulevard,,a9ef77ef-f0a0-4f11-83ee-b4408ea7a499,1,1356,-8516827.1651,5505763.4399
848,Accessible Pathway,Active,John Counter Boulevard,,f677d3bd-31bc-4472-a2a5-525feed97d8d,1,1357,-8516846.9429,5505763.4703
849,Accessible Pathway,Active,Utilities Kingston,,16122246-e26c-4fa4-85d7-230be881f3ad,1,1374,-8516953.263,5505782.5397
850,Accessible Pathway,Active,Utilities Kingston,,e6744103-2884-4d11-a2f4-a0fe2e490db0,1,1375,-8516939.4356,5505785.0657
851,Accessible Pathway,Active,Utilities Kingston,,2f9c1c41-39aa-4456-8b76-a24bb4a74f44,0,,-8516970.3621,5505749.1482
852,Accessible Pathway,Active,John Counter Boulevard,,64fa6d35-a9b5-47fe-af3d-658f578bdfaf,1,1358,-8516935.4403,5505722.7393
854,Sidewalk Curb Cut,Active,Confederation Park,,6eb9561f-597a-48d5-a267-e927baaf17a2,2,1139,-8513609.9127,5501120.6001
857,Accessible Pathway,Active,Confederation Park,,0e93bc20-aa1c-4348-abb0-32f5743df556,1,1141,-8513670.7431,5501033.2011
859,Accessible Pathway,Active,Confederation Park,,35b7877c-a2b1-467b-b00a-a2a792f198f8,1,1143,-8513746.4826,5500975.1747
